market,model,activity_name,start_date,end_date,channels,channel_role,budget_raw,budget_amount,budget_currency,budget_quality,kpi_raw,data_quality,confidence_score,confidence_level
PCH,Cayenne E4,PlanIt-ID = 20161912,2026-06-25,2026-07-25,"CTV, Other Online Channel, Programmatic, Search, Social",full_funnel,CHF 380'000.-,380000.0,CHF,parsed,"Cost per Million (CPM),Click Through Rate (CTR),Model page visit,Cost per Lead (CPL)",complete,100,High
PCH,Cayenne E4,PlanIt-ID = 20057186 (different model types),2025-12-31,2026-12-30,Search,lower_funnel,CHF 100'000.-,100000.0,CHF,parsed,"Model page visit,Configuration",complete,100,High
PCH,Cayenne E4,Additional digital campaign in september (no set up yet),2026-09-06,2026-10-04,"Display, Other Online Channel, Social",full_funnel,CHF 150'000.-,150000.0,CHF,parsed,"Configuration,Dealer contact form submitted (DCFS),Cost per Lead (CPL)",complete,100,High
PCH,Macan BEV,PlanIt-ID = 20057186 (different model types),2025-12-31,2026-12-30,Search,lower_funnel,CHF 100'000.-,100000.0,CHF,parsed,"Model page visit,Configuration,Dealer contact form submitted (DCFS)",complete,100,High
PCH,Macan BEV,Additional digital campaign in september (no set up yet),2026-09-06,2026-10-04,"Display, Other Online Channel, Social",full_funnel,CHF 150'000.-,150000.0,CHF,parsed,"Configuration,Dealer contact form submitted (DCFS),Cost per Lead (CPL)",complete,100,High
PIT,Cayenne E4,Cayenne E4,2026-02-14,2026-12-30,"Programmatic, Social",upper_funnel,100,100.0,,parsed,"Cost per Million (CPM),Dealer contact form submitted (DCFS)",complete,100,High
PIT,Cayenne E4,Campagna DCO,2026-02-14,2026-12-30,Programmatic,upper_funnel,100,100.0,,parsed,Dealer contact form submitted (DCFS),complete,100,High
PIT,Macan BEV,Campagna DCO,2026-02-14,2026-12-30,"Programmatic, Social",upper_funnel,190,190.0,,parsed,"Impressions,Dealer contact form submitted (DCFS)",complete,100,High
PD,Cayenne E3 II,20130912_20130912_POR_RNG_RNG_DEU_T1_NU_EUR_2026-02-22_2026-12-30_LOCAL-AOPROGRAMMATICPERFORMANCE2026,2026-02-22,2026-06-29,Programmatic,upper_funnel,185000 € (HY2 is not yet planned out but a separate budget is allocated for it),185000.0,EUR,parsed,Dealer contact form submitted (DCFS),complete,100,High
PD,Cayenne E3 II,20056448_20056448_POR_RNG_RNG_DEU_T1_NU_EUR_2025-12-31_2026-12-30_LOCAL-SEANATIONAL2026,2026-01-04,2026-12-30,Search,lower_funnel,182500,182500.0,,parsed,Dealer contact form submitted (DCFS),complete,100,High
PD,Cayenne E3 II,20205848_20205848_POR_CAY_SUV_DEU_T1_NU_EUR_2025-12-31_2026-12-30_LOCAL-CAYENNEE4CAYENNEFAMILY,2026-05-17,2026-06-27,Programmatic,upper_funnel,70000,70000.0,,parsed,Configuration,complete,100,High
PD,Cayenne E4,20130912_20130912_POR_RNG_RNG_DEU_T1_NU_EUR_2026-02-22_2026-12-30_LOCAL-AOPROGRAMMATICPERFORMANCE2026,2026-02-22,2026-10-30,Programmatic,upper_funnel,190000,190000.0,,parsed,Dealer contact form submitted (DCFS),complete,100,High
PD,Cayenne E4,20056448_20056448_POR_RNG_RNG_DEU_T1_NU_EUR_2025-12-31_2026-12-30_LOCAL-SEANATIONAL2026,2026-01-04,2026-12-30,Search,lower_funnel,146000,146000.0,,parsed,Dealer contact form submitted (DCFS),complete,100,High
PD,Cayenne E4,20205848_20205848_POR_CAY_SUV_DEU_T1_NU_EUR_2025-12-31_2026-12-30_LOCAL-CAYENNEE4CAYENNEFAMILY,2026-05-17,2026-06-27,Programmatic,upper_funnel,70000,70000.0,,parsed,Configuration,complete,100,High
PD,Macan BEV,20172604_20172604_POR_MAC_SUV_DEU_T1_NU_EUR_2026-02-20_2026-10-31_LOCAL-MACANDIENSTWAGENPUSH2026,2026-04-06,2026-08-15,"Programmatic, Social",upper_funnel,170000,170000.0,,parsed,"Model page visit,Dealer contact form submitted (DCFS)",complete,100,High
PD,Macan BEV,20130912_20130912_POR_RNG_RNG_DEU_T1_NU_EUR_2026-02-22_2026-12-30_LOCAL-AOPROGRAMMATICPERFORMANCE2026,2026-02-22,2026-10-30,Programmatic,upper_funnel,190000,190000.0,,parsed,Dealer contact form submitted (DCFS),complete,100,High
PD,Macan BEV,20056448_20056448_POR_RNG_RNG_DEU_T1_NU_EUR_2025-12-31_2026-12-30_LOCAL-SEANATIONAL2026,2026-01-04,2026-12-30,Search,lower_funnel,182500,182500.0,,parsed,Dealer contact form submitted (DCFS),complete,100,High
PPL,Cayenne E3 II,"Q1 2026 digital campaign done, media incl.: YouTube, Demand Gen, Performance Max, Search, Meta, Display Ads,",2026-01-01,2026-03-30,"Programmatic, Search, Social",full_funnel,2 651 250 PLN net (media),2.0,,parsed,"Configuration,Cost Per Lead (CPL)",complete,100,High
PTW,Macan BEV,"Ongoing 2026 digital campaign starting in April, media incl.: Search & Meta Inventory Ads",2026-04-09,2026-12-30,"Search, Social",full_funnel,593 300 PLN net,593.0,,parsed,"Configuration,Dealer contact form submitted (DCFS),Cost per Lead (CPL)",complete,100,High
PBR,Cayenne E3 II,1st flight / Tactical Campaign (Fast Start): Jan to Mar,2026-01-12,2026-03-30,"Other Online Channel, Retail Marketplace, Search, Social",full_funnel,"20.782,75 EUR",20.78275,EUR,parsed,"Impressions,Dealer contact form submitted (DCFS),Cost Per Lead (CPL)",complete,100,High
PBR,Cayenne E3 II,2nd flight / Tactical Campaign: Jun to Aug,2026-06-04,2026-08-30,"Other Online Channel, Programmatic, Retail Marketplace, Search, Social",full_funnel,"27.908,96 EUR",27.90896,EUR,parsed,"Impressions,Dealer contact form submitted (DCFS),Cost per Lead (CPL)",complete,100,High
PBR,Cayenne E3 II,Cayenne Family: E3II + E4 (focus on lead generation),2026-11-05,2026-12-21,"Programmatic, Social",upper_funnel,"21.468,43 EUR",21.46843,EUR,parsed,"Impressions,Click Through Rate (CTR),Dealer contact form submitted (DCFS),Cost per Lead (CPL)",complete,100,High
PBR,Cayenne E4,"Launch Campaign: Jul to mid-Sep (Pre PoS), mid-Sep to Oct (PoS)",2026-07-05,2026-10-30,"Programmatic, Search, Social",full_funnel,"65.629,73",65.62973,,parsed,"Impressions,Cost per Million (CPM),Click Through Rate (CTR),Model page visit,Dealer contact form submitted (DCFS),Cost per Lead (CPL)",complete,100,High
PBR,Macan BEV,Tactical Campaign: Nov to Dec,2026-11-05,2026-12-21,"Search, Social",full_funnel,"10.661,77 EUR",10.66177,EUR,parsed,"Impressions,Dealer contact form submitted (DCFS),Cost per Lead (CPL)",complete,100,High
PCL,Cayenne E3 II,Cayenne Family (ID: 20053155),2026-04-26,2026-10-30,"Programmatic, Search, Social",full_funnel,$1.5M CAD,1500000.0,,parsed,"Click Through Rate (CTR),Dealer contact form submitted (DCFS),Others, PF VDP view, PF save listing, Cost per acquisition, CPC",complete,100,High
PCL,Cayenne E4,E4 Launch (ID: 20053154),2026-03-15,2026-04-29,"CTV, DOOH, Other Online Channel, Programmatic, Search, Social",full_funnel,$460K CAD,460000.0,,parsed,"Impressions,Cost per Million (CPM),Click Through Rate (CTR),Others, Cost per Reach, Cost per video view,",complete,100,High
PCL,Macan BEV,Macan Family (ID: 20053156),2026-04-19,2026-07-30,"Programmatic, Search, Social",full_funnel,$1M CAD,1000000.0,,parsed,"Impressions,Dealer contact form submitted (DCFS),Others, PF VDP view, Vehicle list saved, Contact form start, CPA, CPC",complete,100,High
PIB POR,Cayenne E4,Meta (PAG),2026-05-04,2026-05-30,Social,upper_funnel,20K,20000.0,,parsed,"Impressions,Cost per Million (CPM)",complete,100,High
nan,Cayenne E4,TVC,2026-05-31,2026-06-14,"Cinemas, Other Online Channel, Social",upper_funnel,45K,45000.0,,parsed,"Store visits,Others, visualizations",complete,100,High
PIB POR,Cayenne E4,POS,2026-06-30,2026-07-30,"Programmatic, Search, Social",full_funnel,150K,150000.0,,parsed,"Impressions,Model page visit,Configuration,Dealer contact form submitted (DCFS),Store visits",complete,100,High
PIB POR,Macan BEV,Spirit,2026-02-22,2026-02-22,"Programmatic, Search, Social",full_funnel,80K,80000.0,,parsed,"Impressions,Dealer contact form submitted (DCFS),Store visits",complete,100,High
PNO,Cayenne E4,Cayenne 2026 launch,2025-12-31,2026-01-25,"Programmatic, Search, Social",full_funnel,650000 NOK,650000.0,,parsed,Impressions,complete,100,High
PNO,Macan BEV,Macan GTS,2026-02-10,2026-03-05,"Other Online Channel, Programmatic, Streaming TV",upper_funnel,676480 NOK,676480.0,,parsed,"Impressions,Model page visit",complete,100,High
PNO,Macan BEV,Macan Norsk Utstyrspakke,2026-03-12,2026-03-31,"Programmatic, Social",upper_funnel,200000 NOK,200000.0,,parsed,Dealer contact form submitted (DCFS),complete,100,High
TRK,Cayenne E4,20168871_20168871_POR_CAY_SUV_CEE_T1_NU_EUR_2026-02-28_2026-09-29_LOCAL-DCOPROGRAMMATICCAYENNEELECTRIC-CAYENNE,2026-03-01,2026-09-29,Programmatic,upper_funnel,"Turkey budget:  672,888 CZK",672888.0,,parsed,Configuration,complete,100,High
TRK,Macan BEV,DCO Programmatic Macan Electric,2026-06-29,2026-09-29,Programmatic,upper_funnel,"This campaign is still at the planning stage, the market budget allocation is not confirmed yet.",,,unparsed,Configuration,complete,85,High
PTW,Cayenne E3 II,always-on,,,"Other Online Channel, Programmatic, Social",upper_funnel,186849,186849.0,,parsed,"Model page visit,Dealer contact form submitted (DCFS),Cost Per Lead (CPL)",needs_follow_up,55,Medium
PTW,Cayenne E4,always-on,2025-12-31,2026-12-30,"Other Online Channel, Programmatic, Social",upper_funnel,186849,186849.0,,parsed,"Model page visit,Configuration,Dealer contact form submitted (DCFS),Cost per Lead (CPL)",complete,100,High
PTW,Macan BEV,always-on,2025-12-31,2026-12-30,"Other Online Channel, Programmatic, Social",upper_funnel,186240,186240.0,,parsed,"Model page visit,Configuration,Dealer contact form submitted (DCFS),Cost per Lead (CPL)",complete,100,High
POF,Cayenne E3 II,Always-on META (trafic and lead ad),2025-12-31,2026-12-30,Social,upper_funnel,40€ (same campaign (trafic and lead ad) for E3 II and E4 - we let the algorythm decide which creative asset to push depending on the audience),40.0,EUR,parsed,"Dealer contact form submitted (DCFS),Cost Per Lead (CPL)",complete,100,High
POF,Cayenne E3 II,Always-on SEA,2025-12-31,2026-12-30,Search,lower_funnel,40K€ budget for PHEV models (including E3II and Panamera),40000.0,EUR,parsed,"Model page visit,Configuration,Dealer contact form submitted (DCFS),Cost per Lead (CPL)",complete,100,High
POF,Cayenne E4,Always-on META (traffic and lead ad) & SEA,2025-12-31,2026-12-30,"Search, Social",full_funnel,45K€ for SEA and 40K€ for Cayenne META campaign trafic and lead ad (common to E3II and E4),45000.0,EUR,parsed,"Impressions,Cost per Million (CPM),Click Through Rate (CTR),Model page visit,Configuration,Dealer contact form submitted (DCFS),Cost per Lead (CPL)",complete,100,High
POF,Cayenne E4,Press campaign,2026-02-28,2026-06-29,Other Online Channel,upper_funnel,166,166.0,,parsed,Impressions,complete,100,High
POF,Cayenne E4,Digital campaign (traffic and lead generation) via programmatic + DOOH,2026-03-19,2026-06-06,"Other Online Channel, Programmatic",upper_funnel,231K€,231000.0,EUR,parsed,"Impressions,Cost per Million (CPM),Click Through Rate (CTR),Model page visit",complete,100,High
POF,Macan BEV,Always-on SEA,2025-12-31,2026-12-30,Search,lower_funnel,81K€,81000.0,EUR,parsed,"Model page visit,Configuration,Dealer contact form submitted (DCFS),Cost per Lead (CPL)",complete,100,High
POF,Macan BEV,Always on META (traffic and lead ad),2025-12-31,2026-12-30,Social,upper_funnel,40K€,40000.0,EUR,parsed,"Impressions,Cost per Million (CPM),Click Through Rate (CTR),Model page visit,Configuration,Dealer contact form submitted (DCFS),Cost per Lead (CPL)",complete,100,High
PCNA,Cayenne E3 II,Always On,2025-12-31,2026-12-30,"Programmatic, Search, Social",full_funnel,7500000,7500000.0,,parsed,"Model page visit,Configuration,Dealer contact form submitted (DCFS)",complete,100,High
PCNA,Cayenne E4,Always On,2025-12-31,2026-12-30,"Programmatic, Search, Social",full_funnel,750000,750000.0,,parsed,"Model page visit,Configuration,Dealer contact form submitted (DCFS)",complete,100,High
PCNA,Macan BEV,Always On,2025-12-31,2026-12-30,"Programmatic, Search, Social",full_funnel,1000000,1000000.0,,parsed,"Model page visit,Configuration,Dealer contact form submitted (DCFS)",complete,100,High
PCGB,Cayenne E3 II,Always on,,,nan,unknown,,,,missing,,needs_follow_up,40,Low
PKO,Cayenne E4,TEST,,,nan,unknown,,,,missing,,needs_follow_up,40,Low
PKO,Cayenne E4,E4 Pre Launch,2026-03-19,2026-05-03,"Other Online Channel, Programmatic, Search, Social",full_funnel,"1,480,000,000KRW",1480000000000.0,,parsed,Impressions,complete,100,High
PKO,Cayenne E4,E4 Coupe Launch,2026-05-23,2026-06-29,"Other Online Channel, Programmatic, Search, Social",full_funnel,"500,000,000 KRW",500000000000.0,,parsed,"Configuration,Dealer contact form submitted (DCFS)",complete,100,High
PKO,Macan BEV,H2 GTS,2026-05-23,2026-06-29,"Other Online Channel, Programmatic, Search, Social",full_funnel,"350,000,000KRW",350000000000.0,,parsed,"Configuration,Dealer contact form submitted (DCFS)",complete,100,High
